Team_Track,TeamTrackAvgDelta,TeamTrackStdDelta
Alfa Romeo Racing_Albert Park,7.130961538461534,10.992618459792194
Alfa Romeo Racing_Bahrain International,-0.6813333333333299,0.41198284753939257
Alfa Romeo Racing_Hockenheimring,7.999000000000004,14.994324602519258
Alfa Romeo Racing_Hungaroring,5.248749999999998,16.00563875415697
Alfa Romeo Racing_Interlagos,5.8469999999999995,10.154668201655545
Alfa Romeo Racing_Istanbul Park,8.890189655172412,6.689854910360529
Alfa Romeo Racing_Monaco,8.044125000000001,12.523267991356462
Alfa Romeo Racing_Monza,8.198500000000003,19.471544753819604
Alfa Romeo Racing_Paul Ricard,5.662714285714285,13.87315424016574
Alfa Romeo Racing_Red Bull Ring,9.141738095238097,19.001211679534446
Alfa Romeo Racing_Spa-Francorchamps,-10.023250000000004,0.727318075764195
Alfa Romeo Racing_Zandvoort,-4.042714285714281,12.828857440867262
Alfa Romeo_Bahrain International,1.5493999999999999,0.34229490209467167
Alfa Romeo_Barcelona-Catalunya,2.956000000000001,0.3521901475055773
Alfa Romeo_COTA,1.739333333333337,0.2311360349808442
Alfa Romeo_Gilles Villeneuve,7.773049999999998,9.447345561334313
Alfa Romeo_Hermanos Rodriguez,0.9118750000000029,0.9666960139223345
Alfa Romeo_Hungaroring,8.884108695652174,17.637468143748386
Alfa Romeo_Imola,12.016399999999992,9.298673563710281
Alfa Romeo_Jeddah,12.94592857142857,17.389685441770826
Alfa Romeo_Las Vegas,13.144363636363643,18.287915918839563
Alfa Romeo_Losail,1.5239999999999887,0.8473356281112393
Alfa Romeo_Miami,12.332888888888883,18.338859082765108
Alfa Romeo_Monza,1.6189999999999998,0.28688906102068845
Alfa Romeo_Silverstone,18.00507894736843,9.163553598968386
AlphaTauri_Bahrain International,6.186889999999998,10.888183748435452
AlphaTauri_Baku City,9.529066666666658,15.012064247555275
AlphaTauri_Barcelona-Catalunya,0.22816666666666427,0.38410345828522247
AlphaTauri_COTA,0.21618181818182336,0.6162416438673766
