dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,55,False,"[76.778, 76.515, 75.946]","[0.273, 0.214, 0.0]",1248,21,1,9621
False,False,1,False,"[76.803, 76.514, 76.171]","[0.298, 0.213, 0.225]",1248,18,2,9621
False,False,4,False,"[76.505, 76.301, 76.26]","[0.0, 0.0, 0.314]",1248,15,3,9621
False,False,16,False,"[76.972, 76.641, 76.265]","[0.467, 0.34, 0.319]",1248,21,4,9621
False,False,63,False,"[77.194, 76.937, 76.356]","[0.689, 0.636, 0.41]",1248,19,5,9621
False,False,44,False,"[77.306, 76.973, 76.651]","[0.801, 0.672, 0.705]",1248,19,6,9621
False,False,20,False,"[77.125, 77.003, 76.886]","[0.62, 0.702, 0.94]",1248,18,7,9621
False,False,10,False,"[77.149, 77.048, 76.892]","[0.644, 0.747, 0.946]",1248,18,8,9621
False,False,23,False,"[77.189, 76.988, 77.065]","[0.684, 0.687, 1.119]",1248,18,9,9621
False,False,27,False,"[77.186, 76.995, 77.365]","[0.681, 0.694, 1.419]",1248,18,10,9621
False,False,22,False,"[77.182, 77.129, None]","[0.677, 0.828, None]",1248,11,11,9621
False,False,30,False,"[77.38, 77.162, None]","[0.875, 0.861, None]",1248,11,12,9621
False,False,14,False,"[77.307, 77.168, None]","[0.802, 0.867, None]",1248,13,13,9621
False,False,18,False,"[77.407, 77.294, None]","[0.902, 0.993, None]",1248,14,14,9621
False,False,77,False,"[77.393, 77.817, None]","[0.888, 1.516, None]",1248,14,15,9621
False,False,43,False,"[77.558, None, None]","[1.053, None, None]",1248,6,16,9621
False,False,81,False,"[77.597, None, None]","[1.092, None, None]",1248,8,17,9621
False,False,11,False,"[77.611, None, None]","[1.106, None, None]",1248,9,18,9621
False,False,31,False,"[77.617, None, None]","[1.112, None, None]",1248,9,19,9621
False,False,24,False,"[78.072, None, None]","[1.567, None, None]",1248,9,20,9621
