dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,81,False,"[70.265, 69.239, 68.899]","[0.788, 0.176, 0.0]",1249,16,1,9631
False,False,4,False,"[69.477, 69.063, 68.928]","[0.0, 0.0, 0.029]",1249,14,2,9631
False,False,16,False,"[70.388, 69.248, 69.153]","[0.911, 0.185, 0.254]",1249,18,3,9631
False,False,1,False,"[70.409, 69.489, 69.219]","[0.932, 0.426, 0.32]",1249,12,4,9631
False,False,55,False,"[70.503, 69.5, 69.257]","[1.026, 0.437, 0.358]",1249,15,5,9631
False,False,63,False,"[70.479, 69.683, 69.443]","[1.002, 0.62, 0.544]",1249,15,6,9631
False,False,10,False,"[70.63, 69.61, 69.622]","[1.153, 0.547, 0.723]",1249,15,7,9631
False,False,30,False,"[70.576, 69.827, 69.941]","[1.099, 0.764, 1.042]",1249,11,8,9631
False,False,23,False,"[70.366, 69.844, 70.078]","[0.889, 0.781, 1.179]",1249,12,9,9631
True,False,50,False,"[70.442, 69.629, None]","[0.965, 0.566, None]",1249,12,10,9631
False,False,44,False,"[70.625, 69.941, None]","[1.148, 0.878, None]",1249,13,11,9631
False,False,27,False,"[70.466, 69.964, None]","[0.989, 0.901, None]",1249,8,12,9631
False,False,11,False,"[70.392, 70.024, None]","[0.915, 0.961, None]",1249,10,13,9631
False,False,43,False,"[70.47, 70.275, None]","[0.993, 1.212, None]",1249,9,14,9631
False,False,77,False,"[70.861, 70.595, None]","[1.384, 1.532, None]",1249,12,15,9631
False,False,14,False,"[70.978, None, None]","[1.501, None, None]",1249,6,16,9631
False,False,31,False,"[71.052, None, None]","[1.575, None, None]",1249,6,17,9631
False,False,22,False,"[71.121, None, None]","[1.644, None, None]",1249,6,18,9631
False,False,18,False,"[71.28, None, None]","[1.803, None, None]",1249,6,19,9631
False,False,24,False,"[72.978, None, None]","[3.501, None, None]",1249,5,20,9631
